name	self_contained	abs_clusters	residual_class	ours_st	ours_t	base_st	base_t	full_nodes	residual_nodes	n_oxidd	n_ltlsynt
CoffeMachine_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					138	138	0	1
CoffeMachine_a50cadd7.tlsf	0	0	liveness (F/U/GF/Buchi)					75	75	0	1
CoffeeMin_88f351a6.tlsf	0	0	liveness (F/U/GF/Buchi)					57	57	0	1
Coffee_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					153	153	0	1
Coffee_235467da.tlsf	0	0	liveness (F/U/GF/Buchi)					136	136	0	1
Coffee_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					166	166	0	1
Coffee_6479ef9a.tlsf	0	0	liveness (F/U/GF/Buchi)					147	147	0	1
Coffee_d6376bf9.tlsf	0	0	liveness (F/U/GF/Buchi)					166	166	0	1
Coffee_efe2feaf.tlsf	0	0	liveness (F/U/GF/Buchi)					128	128	0	1
Coffee_f1477cc5.tlsf	0	0	liveness (F/U/GF/Buchi)					142	142	0	1
Core_4b5a2bad.tlsf	0	0	liveness (F/U/GF/Buchi)					132	132	0	1
Core_66f450a4.tlsf	0	0	W/R safety not yet handled					75	75	0	1
Core_fa4d4ce3.tlsf	0	0	liveness (F/U/GF/Buchi)					140	140	0	1
Core_solved_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					150	150	0	1
Demo1_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					594	594	0	1
Demo1_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					607	607	0	1
Demo1_63831f8c.tlsf	0	0	liveness (F/U/GF/Buchi)					585	585	0	1
Demo1_c2b9e44d.tlsf	0	0	liveness (F/U/GF/Buchi)					588	588	0	1
Demo1_d65ed84e.tlsf	0	0	liveness (F/U/GF/Buchi)					607	607	0	1
DeviceBehaviorChec_fa8592c8.tlsf	0	0	liveness (F/U/GF/Buchi)					103	103	0	1
Door_2d1010f8.tlsf	0	0	liveness (F/U/GF/Buchi)					73	73	0	1
EnemeyModule.tlsf	1	3	(none / unrealizable verdict)	SOLVED	0.09070094401249662	SOLVED	0.024485019996063784	56	0	3	0
EscalatorBidirectional.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04595178097952157	SOLVED	0.02757937100250274	175	0	1	0
EscalatorBidirectionalInit.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.052485866006463766	SOLVED	0.029057801992166787	201	0	1	0
EscalatorCounting.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.07504807901568711	SOLVED	0.023910197982331738	77	0	2	0
EscalatorCountingInit.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.07446607897873037	SOLVED	0.026908180996542796	103	0	2	0
EscalatorNonCounting.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04887113001313992	SOLVED	0.02594790598959662	37	0	1	0
EscalatorNonReactive.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.044629506999626756	SOLVED	0.02786547801224515	14	0	1	0
EscalatorSmart.tlsf	0	0	liveness (F/U/GF/Buchi)					68	68	0	1
Example1_d6376bf9.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04373882999061607	SOLVED	0.0362172840104904	88	0	1	0
F-G-contradiction-10.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.06975683901691809	ERROR	0.034368226013612	1	0	1	0
F-G-contradiction-11.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.0772043580072932	ERROR	0.02795605399296619	1	0	1	0
F-G-contradiction-110.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.06334089100710116	ERROR	0.06034086499130353	1	0	1	0
F-G-contradiction-111.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05985973298083991	ERROR	0.05883236098452471	1	0	1	0
F-G-contradiction-112.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.06455441398429684	ERROR	0.05270262999692932	1	0	1	0
F-G-contradiction-113.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.06741324299946427	ERROR	0.05043148499680683	1	0	1	0
F-G-contradiction-114.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.07328398499521427	ERROR	0.05937790501047857	1	0	1	0
F-G-contradiction-12.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.08573836099822074	ERROR	0.023795996006811038	1	0	1	0
F-G-contradiction-13.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.08744747799937613	ERROR	0.023883753980044276	1	0	1	0
F-G-contradiction-14.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.09046180499717593	ERROR	0.026954406988807023	1	0	1	0
F-G-contradiction-15.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.09980846499092877	ERROR	0.03137111500836909	1	0	1	0
F-G-contradiction-16.tlsf	1	1	(none / unrealizable verdict)	UNREAL	1.4138507449824829	ERROR	0.04536975300288759	1	0	1	0
F-G-contradiction-17.tlsf	1	1	(none / unrealizable verdict)	UNREAL	2.527144725987455	ERROR	0.046912690973840654	1	0	1	0
F-G-contradiction-18.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05593376999604516	ERROR	0.04772918499656953	1	0	1	0
F-G-contradiction-19.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05854316698969342	ERROR	0.04416642599971965	1	0	1	0
F-G-contradiction-2-unreal.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.0715427010145504	ERROR	0.0284363980172202	1	0	1	0
FelixSpecFixed2.2.core_fa8592c8.tlsf	0	0	liveness (F/U/GF/Buchi)					89	89	0	1
FelixSpecFixed2_fa4d4ce3.tlsf	0	0	liveness (F/U/GF/Buchi)					692	692	0	1
FelixSpecFixed3.core_b209ff21.tlsf	0	0	liveness (F/U/GF/Buchi)					167	167	0	1
FelixSpecFixed3_b0840146.tlsf	0	0	liveness (F/U/GF/Buchi)					700	700	0	1
FelixSpecFixed4GuaranteesOnly_88f351a6.tlsf	0	0	liveness (F/U/GF/Buchi)					161	161	0	1
FelixSpecFixed4_3916ec59.tlsf	0	0	liveness (F/U/GF/Buchi)					709	709	0	1
FelixSpecFixed5_f82794da.tlsf	0	0	liveness (F/U/GF/Buchi)					713	713	0	1
FelixSpecFixed_2418b67e.tlsf	0	0	liveness (F/U/GF/Buchi)					691	691	0	1
Full_f1477cc5.tlsf	0	0	liveness (F/U/GF/Buchi)					1065	1065	0	1
GF-G-contradiction0.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.06700685800751671	ERROR	0.026020531018730253	1	0	1	0
GF-G-contradiction1.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.07858933100942522	ERROR	0.029148029017960653	1	0	1	0
GF-G-contradiction2.tlsf	1	1	(none / unrealizable verdict)	UNREAL	0.09042658898397349	ERROR	0.028988851001486182	1	0	1	0
GF-G-contradiction3.tlsf	1	1	(none / unrealizable verdict)	UNREAL	1.471171528013656	ERROR	0.03940346700255759	1	0	1	0
GF-G-contradiction4.tlsf	1	1	(none / unrealizable verdict)	UNREAL	1.685174704005476	ERROR	0.03657772100996226	1	0	1	0
GF-G-contradiction5.tlsf	1	1	(none / unrealizable verdict)	UNREAL	4.991908169002272	ERROR	0.03620393798337318	1	0	1	0
GF-G-contradiction6.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.062107420002575964	ERROR	0.03676801099209115	1	0	1	0
GF-G-contradiction7.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05491180901299231	ERROR	0.050691037002252415	1	0	1	0
Gamelogic.tlsf	1	4	(none / unrealizable verdict)	SOLVED	0.12653979999595322	SOLVED	0.0471019460237585	313	0	4	0
GamemodeChooser.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.044141630991362035	SOLVED	0.044834886997705325	167	0	1	0
Gamemodule.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.045069643994793296	SOLVED	0.044052073993952945	79	0	1	0
HeatingMin_d6c5ac79.tlsf	0	0	liveness (F/U/GF/Buchi)					36	36	0	1
Heating_235467da.tlsf	0	0	liveness (F/U/GF/Buchi)					50	50	0	1
Heating_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					68	68	0	1
Heating_b02056d6.tlsf	0	0	liveness (F/U/GF/Buchi)					48	48	0	1
Heating_b209ff21.tlsf	0	0	liveness (F/U/GF/Buchi)					50	50	0	1
