name	rc_off	rc_ms
prioritized_arbiter.tlsf	1	1
prioritized_arbiter_enc.tlsf	1	1
prioritized_arbiter_unreal1.tlsf	1	1
prioritized_arbiter_unreal2.tlsf	1	1
gr_1.tlsf	1	1
gr_2.tlsf	1	1
gr_3.tlsf	1	1
gr_4.tlsf	1	1
gr_5.tlsf	1	1
gr_6.tlsf	1	1
gr_7.tlsf	1	1
gr_8.tlsf	1	1
ltl_1.tlsf	1	1
ltl_2.tlsf	1	1
ltl_3.tlsf	1	1
ltl_4.tlsf	1	1
ltl_5.tlsf	1	1
ltl_6.tlsf	1	1
ltl_7.tlsf	1	1
ltl_8.tlsf	1	1
robot_grid.tlsf	1	1
round_robin_arbiter.tlsf	0	0
round_robin_arbiter_unreal1.tlsf	1	1
round_robin_arbiter_unreal2.tlsf	1	1
01.tlsf	1	1
02.tlsf	1	1
03.tlsf	1	1
05.tlsf	1	1
06.tlsf	1	1
07.tlsf	1	1
08.tlsf	1	1
09.tlsf	1	1
10.tlsf	1	1
11.tlsf	1	1
12.tlsf	1	1
13.tlsf	1	1
ActionConverter.tlsf	0	0
AlarmMin_efe2feaf.tlsf	1	1
Alarm_06e9cad4.tlsf	1	1
Alarm_2d1010f8.tlsf	1	1
Alarm_68c86764.tlsf	1	1
Alarm_70523fbe.tlsf	1	1
Alarm_88c5c1c3.tlsf	1	1
Alarm_9cac58d3.tlsf	1	1
Alarm_a5f99bc6.tlsf	1	1
Alarm_f2774e0b.tlsf	1	1
AllHeating_d6376bf9.tlsf	1	1
AllLights_06e9cad4.tlsf	1	1
AllLights_2c5b09da.tlsf	1	1
AllLights_63831f8c.tlsf	1	1
AllLights_aeb1d897.tlsf	1	1
AllLights_b209ff21.tlsf	1	1
AllLights_d6c5ac79.tlsf	1	1
AllShades_66f450a4.tlsf	1	1
Assumptions_a50cadd7.tlsf	1	1
Automata.tlsf	0	0
Automata16S.tlsf	1	1
Automata32S.tlsf	1	1
Button.tlsf	0	0
CheckAlarmBroken1_1a2942e3.tlsf	1	1
CheckAlarm_6bea956e.tlsf	1	1
CheckCoffeMachineBroken1_a5f99bc6.tlsf	1	1
CheckCoffeMachine_3461125b.tlsf	1	1
CheckCoffeMachine_f3987563.tlsf	1	1
CheckDoor_c2b9e44d.tlsf	1	1
CheckHeating_2418b67e.tlsf	1	1
CheckHeating_3461125b.tlsf	1	1
CheckLight_007df645.tlsf	1	1
CheckLight_aeb1d897.tlsf	1	1
CheckRoom_06e9cad4.tlsf	0	0
CheckRoom_2c5b09da.tlsf	0	0
CheckRoom_3916ec59.tlsf	0	0
CheckRoom_70523fbe.tlsf	0	0
CheckShades_1a2942e3.tlsf	1	1
CheckShades_3461125b.tlsf	1	1
CheckShades_4d4ca5c4.tlsf	1	1
CheckShades_aeb1d897.tlsf	1	1
CheckTime_3916ec59.tlsf	0	0
CheckTime_4b5e6eaa.tlsf	0	0
CheckTime_54e1f7d2.tlsf	0	0
CheckTimer_54e1f7d2.tlsf	1	1
CheckTimer_fa8592c8.tlsf	1	1
CheckWarnlightBroken1_70523fbe.tlsf	1	1
CheckWarnlight_1cf58fc1.tlsf	1	1
CheckWarnlight_4b5a2bad.tlsf	1	1
CheckWarnlight_54e1f7d2.tlsf	1	1
CheckWarnlight_6bea956e.tlsf	1	1
CheckWindows_54e1f7d2.tlsf	0	0
Cockpitboard.tlsf	0	0
Cockpitboard_efe2feaf.tlsf	0	0
CoffeMachine_974f4a68.tlsf	1	1
CoffeMachine_a50cadd7.tlsf	1	1
CoffeeMin_88f351a6.tlsf	1	1
Coffee_06e9cad4.tlsf	1	1
Coffee_235467da.tlsf	1	1
Coffee_2c5b09da.tlsf	1	1
Coffee_6479ef9a.tlsf	1	1
Coffee_d6376bf9.tlsf	1	1
Coffee_efe2feaf.tlsf	1	1
Coffee_f1477cc5.tlsf	1	1
Core_4b5a2bad.tlsf	1	1
Core_66f450a4.tlsf	1	1
Core_fa4d4ce3.tlsf	1	1
Core_solved_974f4a68.tlsf	1	1
Demo1_06e9cad4.tlsf	1	1
Demo1_2c5b09da.tlsf	1	1
Demo1_63831f8c.tlsf	1	1
Demo1_c2b9e44d.tlsf	1	1
Demo1_d65ed84e.tlsf	1	1
DeviceBehaviorChec_fa8592c8.tlsf	1	1
Door_2d1010f8.tlsf	1	1
EnemeyModule.tlsf	0	0
EscalatorBidirectional.tlsf	0	0
EscalatorBidirectionalInit.tlsf	0	0
EscalatorCounting.tlsf	0	0
EscalatorCountingInit.tlsf	0	0
EscalatorNonCounting.tlsf	0	0
EscalatorNonReactive.tlsf	0	0
EscalatorSmart.tlsf	1	1
Example1_d6376bf9.tlsf	0	0
F-G-contradiction-10.tlsf	1	1
F-G-contradiction-11.tlsf	1	1
F-G-contradiction-110.tlsf	1	1
F-G-contradiction-111.tlsf	1	1
F-G-contradiction-112.tlsf	1	1
F-G-contradiction-113.tlsf	1	1
F-G-contradiction-114.tlsf	1	1
F-G-contradiction-12.tlsf	1	1
F-G-contradiction-13.tlsf	1	1
F-G-contradiction-14.tlsf	1	1
F-G-contradiction-15.tlsf	1	1
F-G-contradiction-16.tlsf	1	1
F-G-contradiction-17.tlsf	1	1
F-G-contradiction-18.tlsf	1	1
F-G-contradiction-19.tlsf	1	1
F-G-contradiction-2-unreal.tlsf	1	1
FelixSpecFixed2.2.core_fa8592c8.tlsf	1	1
FelixSpecFixed2_fa4d4ce3.tlsf	1	1
FelixSpecFixed3.core_b209ff21.tlsf	1	1
FelixSpecFixed3_b0840146.tlsf	1	1
FelixSpecFixed4GuaranteesOnly_88f351a6.tlsf	1	1
FelixSpecFixed4_3916ec59.tlsf	1	1
FelixSpecFixed5_f82794da.tlsf	1	1
FelixSpecFixed_2418b67e.tlsf	1	1
Full_f1477cc5.tlsf	1	1
GF-G-contradiction0.tlsf	1	1
GF-G-contradiction1.tlsf	1	1
GF-G-contradiction2.tlsf	1	1
GF-G-contradiction3.tlsf	1	1
GF-G-contradiction4.tlsf	1	1
GF-G-contradiction5.tlsf	1	1
GF-G-contradiction6.tlsf	1	1
GF-G-contradiction7.tlsf	1	1
Gamelogic.tlsf	0	0
GamemodeChooser.tlsf	0	0
Gamemodule.tlsf	0	0
HeatingMin_d6c5ac79.tlsf	1	1
Heating_235467da.tlsf	1	1
Heating_974f4a68.tlsf	1	1
Heating_b02056d6.tlsf	1	1
Heating_b209ff21.tlsf	1	1
Increment.tlsf	0	0
IntendDemo_42dc4fff.tlsf	1	1
KitchenTimerV0.tlsf	0	0
KitchenTimerV1.tlsf	0	0
KitchenTimerV10.tlsf	1	1
KitchenTimerV2.tlsf	0	0
KitchenTimerV3.tlsf	0	0
KitchenTimerV4.tlsf	0	0
KitchenTimerV5.tlsf	0	0
KitchenTimerV6.tlsf	0	0
KitchenTimerV7.tlsf	0	0
KitchenTimerV8.tlsf	0	0
KitchenTimerV9.tlsf	0	0
LampController_974f4a68.tlsf	1	1
LedMatrix.tlsf	1	1
Light_a50cadd7.tlsf	1	1
Light_aeb1d897.tlsf	1	1
Light_d65ed84e.tlsf	1	1
Lights2Min_9cbf2546.tlsf	1	1
Lights2_06e9cad4.tlsf	1	1
Lights2_0f5381e9.tlsf	1	1
Lights2_2c5b09da.tlsf	1	1
Lights2_9cac58d3.tlsf	1	1
Lights2_b02056d6.tlsf	1	1
Lights2_f1477cc5.tlsf	1	1
Lights2_f3987563.tlsf	1	1
Lights3Min_6479ef9a.tlsf	1	1
Lights3_06e9cad4.tlsf	1	1
Lights3_235467da.tlsf	1	1
Lights3_2c5b09da.tlsf	1	1
Lights3_3916ec59.tlsf	1	1
Lights3_6bea956e.tlsf	1	1
Lights3_f1477cc5.tlsf	1	1
LightsMin_6bea956e.tlsf	1	1
LightsTotal_06e9cad4.tlsf	1	1
LightsTotal_2c5b09da.tlsf	1	1
LightsTotal_9cbf2546.tlsf	1	1
LightsTotal_d65ed84e.tlsf	1	1
Lights_06e9cad4.tlsf	1	1
Lights_2c5b09da.tlsf	1	1
Lights_3461125b.tlsf	1	1
Lights_9cac58d3.tlsf	1	1
Lights_b0840146.tlsf	1	1
Lights_f3987563.tlsf	1	1
ModdifiedLedMatrix4X.tlsf	1	1
ModdifiedLedMatrix5X.tlsf	1	1
Morning2Min_6cbc6174.tlsf	1	1
Morning2_06e9cad4.tlsf	1	1
Morning2_1cf58fc1.tlsf	1	1
Morning2_2c5b09da.tlsf	1	1
Morning2_407db2cc.tlsf	1	1
Morning2_4d4ca5c4.tlsf	1	1
Morning2_63831f8c.tlsf	1	1
Morning2_68c86764.tlsf	1	1
Morning2_9cac58d3.tlsf	1	1
Morning2_d65ed84e.tlsf	1	1
Morning2s_06cf2373.tlsf	1	1
Morning2s_06e9cad4.tlsf	1	1
Morning2s_2c5b09da.tlsf	1	1
Morning2s_42dc4fff.tlsf	1	1
Morning2s_9cbf2546.tlsf	1	1
Morning2s_d6c5ac79.tlsf	1	1
MorningMin_d6c5ac79.tlsf	1	1
Morning_14a3b3a2.tlsf	1	1
Morning_4b5e6eaa.tlsf	1	1
Morning_88c5c1c3.tlsf	1	1
Morning_9cac58d3.tlsf	1	1
Morning_c92eb242.tlsf	1	1
Morning_f1477cc5.tlsf	1	1
Morning_f2774e0b.tlsf	1	1
MusicAppFeedback.tlsf	1	1
MusicAppMotivating.tlsf	0	0
MusicAppSimple.tlsf	1	1
OneCounter.tlsf	0	0
OneCounterGui.tlsf	1	1
OneCounterGuiA1.tlsf	1	1
OneCounterGuiA2.tlsf	1	1
OneCounterGuiA3.tlsf	1	1
OneCounterGuiA4.tlsf	1	1
OneCounterGuiA5.tlsf	1	1
OneCounterGuiA6.tlsf	1	1
OneCounterGuiA7.tlsf	1	1
OneCounterGuiA8.tlsf	1	1
OneCounterInRange.tlsf	1	1
OneCounterInRangeA1.tlsf	1	1
OneCounterInRangeA2.tlsf	1	1
OneCounterInRangeA3.tlsf	0	0
PlugController_fa4d4ce3.tlsf	1	1
Radarboard.tlsf	0	0
RegManager.tlsf	0	0
Room_a50cadd7.tlsf	0	0
RotationCalculator.tlsf	0	0
SPI.tlsf	0	0
SPIPureNext.tlsf	1	1
SPIReadClk.tlsf	0	0
SPIReadManag.tlsf	1	1
SPIReadSdi.tlsf	0	0
SPIWriteClk.tlsf	0	0
SPIWriteManag.tlsf	1	1
SPIWriteSdi.tlsf	0	0
Scoreboard.tlsf	0	0
Sensor.tlsf	1	1
SensorInit.tlsf	0	0
SensorPart.tlsf	0	0
SensorRegister.tlsf	0	0
SensorSelector.tlsf	0	0
SensorSubmodulChooser.tlsf	0	0
Shades2Min_63831f8c.tlsf	1	1
Shades2_235467da.tlsf	1	1
Shades2_42dc4fff.tlsf	1	1
Shades2_70523fbe.tlsf	1	1
Shades2_a5f99bc6.tlsf	1	1
ShadesMin_aeb1d897.tlsf	1	1
Shades_6479ef9a.tlsf	1	1
Shades_974f4a68.tlsf	1	1
Shades_9cac58d3.tlsf	1	1
Shades_a02758ea.tlsf	1	1
SingleContoller_d65ed84e.tlsf	1	1
SliderDefault.tlsf	1	1
SliderDelayed.tlsf	1	1
SliderScored.tlsf	1	1
System_b0840146.tlsf	1	1
Time_a50cadd7.tlsf	0	0
Timer_a50cadd7.tlsf	0	0
TorcsAccelerating.tlsf	0	0
TorcsGearing.tlsf	0	0
TorcsSimple.tlsf	0	0
TorcsSteeringImproved.tlsf	1	1
TorcsSteeringSimple.tlsf	0	0
TorcsSteeringSmart.tlsf	1	1
TwoCounters.tlsf	1	1
TwoCounters2.tlsf	1	1
TwoCounters3.tlsf	0	0
TwoCounters4.tlsf	0	0
TwoCounters5.tlsf	1	1
TwoCountersDisButA0.tlsf	1	1
TwoCountersDisButA1.tlsf	1	1
TwoCountersDisButA2.tlsf	1	1
TwoCountersDisButA3.tlsf	1	1
TwoCountersDisButA4.tlsf	1	1
TwoCountersDisButA5.tlsf	1	1
TwoCountersDisButA6.tlsf	1	1
TwoCountersDisButA7.tlsf	1	1
TwoCountersDisButA8.tlsf	1	1
TwoCountersDisButA9.tlsf	1	1
TwoCountersDisButAC.tlsf	1	1
TwoCountersGui.tlsf	1	1
TwoCountersInRange.tlsf	1	1
TwoCountersInRangeA1.tlsf	1	1
TwoCountersInRangeA2.tlsf	1	1
TwoCountersInRangeA3.tlsf	1	1
TwoCountersInRangeA4.tlsf	1	1
TwoCountersInRangeA5.tlsf	1	1
TwoCountersInRangeM0.tlsf	1	1
TwoCountersInRangeM1.tlsf	1	1
TwoCountersInRangeM2.tlsf	1	1
TwoCountersInRangeM3.tlsf	1	1
TwoCountersInRangeM4.tlsf	1	1
TwoCountersRefined.tlsf	1	1
TwoCountersRefinedRefined.tlsf	0	0
UnderapproxDemo2.tlsf	0	0
UnderapproxStrengthenedDemo.tlsf	0	0
Warnlight_2d1010f8.tlsf	1	1
Warnlight_a50cadd7.tlsf	1	1
Window2Min_88c5c1c3.tlsf	1	1
Window2_54e1f7d2.tlsf	1	1
Window2_6479ef9a.tlsf	1	1
Window2_9cac58d3.tlsf	1	1
Window2_aeb1d897.tlsf	1	1
Window2_f1477cc5.tlsf	1	1
WindowMin_a5f99bc6.tlsf	1	1
Window_235467da.tlsf	1	1
Window_42dc4fff.tlsf	1	1
Window_54e1f7d2.tlsf	1	1
Zoo0.tlsf	1	1
Zoo10.tlsf	1	1
Zoo5.tlsf	1	1
abcg_arbiter_pb_10_pe_.tlsf	1	1
abcg_arbiter_pb_1_pe_.tlsf	1	1
abcg_arbiter_pb_2_pe_.tlsf	1	1
abcg_arbiter_pb_3_pe_.tlsf	1	1
abcg_arbiter_pb_4_pe_.tlsf	1	1
abcg_arbiter_pb_5_pe_.tlsf	1	1
abcg_arbiter_pb_6_pe_.tlsf	1	1
abcg_arbiter_pb_7_pe_.tlsf	1	1
abcg_arbiter_pb_8_pe_.tlsf	1	1
abcg_arbiter_pb_9_pe_.tlsf	1	1
amba_case_study_pb_2_pe_.tlsf	1	1
amba_case_study_pb_3_pe_.tlsf	1	1
amba_case_study_pb_4_pe_.tlsf	1	1
amba_case_study_pb_5_pe_.tlsf	1	1
amba_case_study_pb_6_pe_.tlsf	1	1
